"recordId","hospitalId","password","name","gender","userType","email","dateOfBirth","phoneNumber","bloodType"
4,"P1001","password","Alice Brown","Female","Patient","sc2002@hospital.com","14-05-1980","1919810114514","A+"
5,"P1002","password","Bob Stone","Male","Patient","bob.stone@example.com","22-11-1975","","B+"
6,"P1003","password","Charlie White","Male","Patient","charlie.white@example.com","08-07-1990","","O-"
53,"P114514","password","P114514","","Patient","","","",""
79,"P1919","114514","P1919","","Patient","","","",""
101,"P1004","password","Uncle jamous","Male","Patient","","09-08-1965","","A"
124,"P111111","password","WhoAmI","Male","Patient","","23-02-2005","","AB"
147,"dd","password","dd","Male","Patient","","22-01-2222","","O-"
218,"aa","password","aa","Male","Patient","","21-01-2005","","A"
225,"bbb","password","aa","Male","Patient","","21-01-2005","","A"
268,"P4321","password","one patient","Female","Patient","","11-11-1111","","A"
308,"P1","password","a","Male","Patient","","11-11-1111","","A"
309,"P","password","a","Male","Patient","","11-11-1111","","A"
